,Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
6266,6672,26.0,Private,173927.0,Assoc-voc,11,Never-married,Prof-specialty,Own-child,Other,Female,0,0,60.0,Jamaica,<=50K
12735,13564,21.0,Private,203055.0,Some-college,10,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40.0,United-States,<=50K
2253,2398,19.0,Private,55284.0,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,35.0,United-States,<=50K
1746,1854,29.0,Self-emp-not-inc,229842.0,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Male,0,0,45.0,United-States,<=50K
5825,6199,32.0,Private,251243.0,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50.0,United-States,>50K
16268,17336,55.0,Private,236520.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
24740,26379,56.0,Private,235826.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40.0,United-States,<=50K
25980,27703,25.0,Private,97789.0,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,50.0,United-States,<=50K
2143,2282,31.0,Private,219509.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40.0,Mexico,>50K
15604,16633,39.0,Private,65382.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40.0,United-States,<=50K
14343,15288,42.0,Private,318947.0,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
7677,8178,29.0,Private,185019.0,12th,8,Never-married,Other-service,Not-in-family,Other,Male,0,0,40.0,United-States,<=50K
13,15,34.0,Private,245487.0,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45.0,Mexico,<=50K
18567,19775,17.0,,161981.0,10th,6,Never-married,,Own-child,White,Male,0,0,40.0,United-States,<=50K
5105,5425,34.0,Private,181091.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45.0,United-States,>50K
8961,9559,42.0,Private,46221.0,Doctorate,16,Married-spouse-absent,Other-service,Not-in-family,White,Male,27828,0,60.0,,>50K
15093,16092,58.0,State-gov,223400.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20.0,United-States,>50K
8666,9244,38.0,Private,179117.0,Assoc-acdm,12,Never-married,Machine-op-inspct,Not-in-family,Black,Female,10520,0,50.0,United-States,>50K
19998,21316,45.0,Private,421412.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45.0,United-States,>50K
14294,15235,28.0,Private,96219.0,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,15.0,United-States,<=50K
12206,13012,39.0,Private,203070.0,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,49.0,United-States,<=50K
10939,11674,42.0,Private,280167.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,>50K
8578,9152,32.0,State-gov,175931.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40.0,United-States,<=50K
18654,19869,32.0,Private,182714.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,45.0,United-States,<=50K
24738,26377,24.0,Local-gov,212210.0,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,20.0,,<=50K
23677,25239,18.0,Self-emp-not-inc,29582.0,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,40.0,United-States,<=50K
10978,11714,29.0,Private,212102.0,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,30.0,United-States,<=50K
9484,10116,51.0,Private,161691.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40.0,United-States,<=50K
27385,29202,33.0,Private,285131.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
8644,9222,19.0,Private,199441.0,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
296,312,19.0,,448337.0,Some-college,10,Never-married,,Own-child,Black,Female,0,0,25.0,United-States,<=50K
12397,13211,28.0,Private,70240.0,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,40.0,Philippines,<=50K
19363,20636,23.0,Private,151888.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,4650,0,50.0,Ireland,<=50K
22027,23489,48.0,Private,107373.0,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40.0,United-States,>50K
10160,10839,22.0,Private,244773.0,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,15.0,United-States,<=50K
21402,22816,44.0,Private,336906.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
