,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
0,39.0,State-gov,77516.0,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40.0,United-States,<=50K
2,38.0,Private,215646.0,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
3,53.0,Private,234721.0,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40.0,United-States,<=50K
4,28.0,Private,338409.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40.0,Cuba,<=50K
5,37.0,Private,284582.0,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40.0,United-States,<=50K
6,49.0,Private,160187.0,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16.0,Jamaica,<=50K
7,52.0,Self-emp-not-inc,209642.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45.0,United-States,>50K
8,31.0,Private,45781.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50.0,United-States,>50K
9,42.0,Private,159449.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40.0,United-States,>50K
11,30.0,State-gov,141297.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40.0,India,>50K
12,23.0,Private,122272.0,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30.0,United-States,<=50K
13,32.0,Private,205019.0,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50.0,United-States,<=50K
14,40.0,Private,121772.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40.0,,>50K
15,34.0,Private,245487.0,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45.0,Mexico,<=50K
16,25.0,Self-emp-not-inc,176756.0,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35.0,United-States,<=50K
17,32.0,Private,186824.0,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40.0,United-States,<=50K
18,38.0,Private,28887.0,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50.0,United-States,<=50K
19,43.0,Self-emp-not-inc,292175.0,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45.0,United-States,>50K
20,40.0,Private,193524.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60.0,United-States,>50K
21,54.0,Private,302146.0,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,20.0,United-States,<=50K
22,35.0,Federal-gov,76845.0,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40.0,United-States,<=50K
23,43.0,Private,117037.0,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40.0,United-States,<=50K
24,59.0,Private,109015.0,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40.0,United-States,<=50K
25,56.0,Local-gov,216851.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40.0,United-States,>50K
26,19.0,Private,168294.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40.0,United-States,<=50K
27,54.0,,180211.0,Some-college,10,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,0,0,60.0,South,>50K
29,49.0,Private,193366.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
30,23.0,Local-gov,190709.0,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52.0,United-States,<=50K
31,20.0,Private,266015.0,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,44.0,United-States,<=50K
32,45.0,Private,386940.0,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40.0,United-States,<=50K
33,30.0,Federal-gov,59951.0,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40.0,United-States,<=50K
34,22.0,State-gov,311512.0,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15.0,United-States,<=50K
35,48.0,Private,242406.0,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40.0,Puerto-Rico,<=50K
36,21.0,Private,197200.0,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40.0,United-States,<=50K
37,19.0,Private,448337.0,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25.0,United-States,<=50K
38,31.0,Private,84154.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38.0,,>50K
39,48.0,Self-emp-not-inc,265477.0,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,<=50K
40,31.0,Private,448337.0,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43.0,United-States,<=50K
41,53.0,Self-emp-not-inc,88506.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,<=50K
42,24.0,Private,172987.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50.0,United-States,<=50K
43,49.0,Private,94638.0,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
44,25.0,Private,289980.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35.0,United-States,<=50K
45,57.0,Federal-gov,337895.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40.0,United-States,>50K
46,53.0,Private,144361.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38.0,United-States,<=50K
47,44.0,Private,128354.0,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40.0,United-States,<=50K
48,41.0,State-gov,101603.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
49,29.0,Private,271466.0,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43.0,United-States,<=50K
50,25.0,Private,32275.0,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40.0,United-States,<=50K
51,18.0,Private,226956.0,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30.0,,<=50K
52,47.0,Private,51835.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60.0,Honduras,>50K
53,50.0,Federal-gov,251585.0,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55.0,United-States,>50K
54,47.0,Self-emp-inc,109832.0,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60.0,United-States,<=50K
55,43.0,Private,237993.0,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40.0,United-States,>50K
56,46.0,Private,216666.0,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,Mexico,<=50K
57,35.0,Private,56352.0,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40.0,Puerto-Rico,<=50K
58,41.0,Private,147372.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48.0,United-States,<=50K
59,30.0,Private,188146.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40.0,United-States,<=50K
60,30.0,Private,59496.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40.0,United-States,<=50K
61,32.0,,293936.0,7th-8th,4,Married-spouse-absent,,Not-in-family,White,Male,0,0,40.0,,<=50K
62,48.0,Private,149640.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40.0,United-States,<=50K
63,42.0,Private,116632.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45.0,United-States,>50K
64,29.0,Private,105598.0,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58.0,United-States,<=50K
65,36.0,Private,155537.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
66,28.0,Private,183175.0,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
